Ambulance_ID,Ambulance_Name,Status,Location,Latitude,Longitude,City
001,Rapid 001,In Transit,"Santacruz West, Mumbai",19.0836,72.8323,Mumbai
002,Rescue 002,In Transit,"Santacruz West, Mumbai",19.0803,72.8253,Mumbai
003,Rapid 003,In Transit,"Bandra, Mumbai",19.0519,72.8262,Mumbai
004,Medi 004,In Transit,"Juhu, Mumbai",19.0942,72.8262,Mumbai
005,Swift 005,Available,"Worli, Mumbai",19.0064,72.8175,Mumbai
006,Care 006,In Transit,"Andheri, Mumbai",19.1181,72.8455,Mumbai
007,Rapid 007,In Transit,"Juhu, Mumbai",19.0932,72.832,Mumbai
008,Apex 008,In Transit,"Versova, Mumbai",19.1363,72.7969,Mumbai
009,Medi 009,In Transit,"Pali Hill, Mumbai",19.0554,72.8227,Mumbai
010,Swift 010,In Transit,"Pali Hill, Mumbai",19.0637,72.8277,Mumbai
011,Apex 011,Available,"Juhu, Mumbai",19.0979,72.8318,Mumbai
012,Rescue 012,Available,"Worli, Mumbai",19.01,72.82,Mumbai
013,Lifeline 013,Available,"Bandra, Mumbai",19.0586,72.8349,Mumbai
014,Care 014,Available,"Tardeo, Mumbai",18.9671,72.8163,Mumbai
015,Lifeline 015,In Transit,"Colaba, Mumbai",18.9023,72.8133,Mumbai
016,Rapid 016,Available,"Juhu, Mumbai",19.0984,72.8237,Mumbai
017,Rescue 017,Available,"Juhu, Mumbai",19.1002,72.8279,Mumbai
018,Swift 018,Available,"Versova, Mumbai",19.1328,72.7918,Mumbai
019,Swift 019,Available,"Malabar Hill, Mumbai",18.9478,72.8027,Mumbai
020,Swift 020,In Transit,"Andheri, Mumbai",19.1165,72.8521,Mumbai
021,Care 021,Available,"Worli, Mumbai",19.0063,72.8227,Mumbai
022,Care 022,Available,"Bandra, Mumbai",19.0568,72.8275,Mumbai
023,Medi 023,Available,"Pali Hill, Mumbai",19.0566,72.8231,Mumbai
024,Swift 024,In Transit,"Powai, Mumbai",19.1164,72.9176,Mumbai
025,Care 025,In Transit,"Santacruz West, Mumbai",19.0814,72.8325,Mumbai
026,Lifeline 026,In Transit,"Bandra, Mumbai",19.0508,72.833,Mumbai
027,Rescue 027,Available,"Colaba, Mumbai",18.906,72.8106,Mumbai
028,Apex 028,In Transit,"Colaba, Mumbai",18.9001,72.8121,Mumbai
029,Rescue 029,In Transit,"Cuffe Parade, Mumbai",18.9059,72.8062,Mumbai
030,Apex 030,Available,"Cuffe Parade, Mumbai",18.9059,72.8142,Mumbai
031,Rescue 031,In Transit,"Santacruz West, Mumbai",19.0876,72.8261,Mumbai
032,Lifeline 032,Available,"Versova, Mumbai",19.1387,72.796,Mumbai
033,Lifeline 033,In Transit,"Worli, Mumbai",19.0046,72.8186,Mumbai
034,Care 034,In Transit,"Malabar Hill, Mumbai",18.9509,72.8093,Mumbai
035,Care 035,In Transit,"Cuffe Parade, Mumbai",18.9058,72.8106,Mumbai
036,Rescue 036,In Transit,"Pali Hill, Mumbai",19.0636,72.8278,Mumbai
037,Medi 037,In Transit,"Santacruz West, Mumbai",19.0873,72.8264,Mumbai
038,Rescue 038,Available,"Santacruz West, Mumbai",19.0821,72.8274,Mumbai
039,Apex 039,Available,"Cuffe Parade, Mumbai",18.9015,72.8148,Mumbai
040,Lifeline 040,In Transit,"Tardeo, Mumbai",18.971,72.8117,Mumbai
041,Swift 041,Available,"Worli, Mumbai",19.0085,72.8174,Mumbai
042,Apex 042,In Transit,"Powai, Mumbai",19.118,72.9125,Mumbai
043,Care 043,Available,"Pali Hill, Mumbai",19.0648,72.8294,Mumbai
044,Medi 044,Available,"Malabar Hill, Mumbai",18.9534,72.8033,Mumbai
045,Lifeline 045,Available,"Powai, Mumbai",19.1133,72.9113,Mumbai
046,Medi 046,In Transit,"Colaba, Mumbai",18.9031,72.81,Mumbai
047,Medi 047,Available,"Colaba, Mumbai",18.9046,72.8089,Mumbai
048,Medi 048,In Transit,"Andheri, Mumbai",19.1238,72.8481,Mumbai
049,Rescue 049,Available,"Colaba, Mumbai",18.9032,72.811,Mumbai
050,Lifeline 050,Available,"Colaba, Mumbai",18.8998,72.8172,Mumbai
051,Rapid 051,In Transit,"Jor Bagh, Delhi",28.5907,77.2195,Delhi
052,Apex 052,In Transit,"Saket, Delhi",28.5225,77.2122,Delhi
053,Apex 053,In Transit,"Golf Links, Delhi",28.6018,77.2264,Delhi
054,Medi 054,Available,"Vasant Kunj, Delhi",28.5271,77.1478,Delhi
055,Lifeline 055,Available,"Golf Links, Delhi",28.6004,77.2265,Delhi
056,Lifeline 056,Available,"Sunder Nagar, Delhi",28.6032,77.2261,Delhi
057,Lifeline 057,In Transit,"Lutyens' Bungalow Zone, Delhi",28.6171,77.2024,Delhi
058,Swift 058,In Transit,"Lutyens' Bungalow Zone, Delhi",28.6154,77.2028,Delhi
059,Rapid 059,Available,"Shanti Niketan, Delhi",28.5804,77.1685,Delhi
060,Rescue 060,Available,"Panchsheel Park, Delhi",28.5492,77.2195,Delhi
061,Care 061,In Transit,"Saket, Delhi",28.5223,77.2164,Delhi
062,Rapid 062,In Transit,"Shanti Niketan, Delhi",28.5782,77.1703,Delhi
063,Medi 063,Available,"Saket, Delhi",28.5255,77.2131,Delhi
064,Medi 064,In Transit,"Golf Links, Delhi",28.5998,77.2294,Delhi
065,Swift 065,Available,"Lutyens' Bungalow Zone, Delhi",28.6111,77.1961,Delhi
066,Apex 066,Available,"Defence Colony, Delhi",28.5724,77.2387,Delhi
067,Rescue 067,Available,"Saket, Delhi",28.5265,77.2099,Delhi
068,Swift 068,In Transit,"Sunder Nagar, Delhi",28.6016,77.2285,Delhi
069,Apex 069,In Transit,"Lutyens' Bungalow Zone, Delhi",28.6099,77.1978,Delhi
070,Medi 070,In Transit,"Sunder Nagar, Delhi",28.6034,77.2253,Delhi
071,Swift 071,In Transit,"Sunder Nagar, Delhi",28.5988,77.229,Delhi
072,Medi 072,In Transit,"Greater Kailash, Delhi",28.5513,77.2523,Delhi
073,Apex 073,Available,"Golf Links, Delhi",28.603,77.2254,Delhi
074,Apex 074,In Transit,"Hauz Khas, Delhi",28.5458,77.1892,Delhi
075,Lifeline 075,In Transit,"Saket, Delhi",28.5268,77.2186,Delhi
076,Rapid 076,In Transit,"Panchsheel Park, Delhi",28.5471,77.2255,Delhi
077,Lifeline 077,In Transit,"Jor Bagh, Delhi",28.5823,77.218,Delhi
078,Care 078,Available,"Saket, Delhi",28.5254,77.2145,Delhi
079,Rapid 079,In Transit,"Greater Kailash, Delhi",28.5499,77.2485,Delhi
080,Lifeline 080,In Transit,"Vasant Kunj, Delhi",28.5346,77.1488,Delhi
081,Rescue 081,In Transit,"Jor Bagh, Delhi",28.5859,77.2129,Delhi
082,Rescue 082,In Transit,"Jor Bagh, Delhi",28.5875,77.2202,Delhi
083,Rescue 083,In Transit,"Sunder Nagar, Delhi",28.6007,77.2348,Delhi
084,Apex 084,Available,"Defence Colony, Delhi",28.5685,77.2306,Delhi
085,Medi 085,Available,"Shanti Niketan, Delhi",28.5831,77.1678,Delhi
086,Swift 086,Available,"Sunder Nagar, Delhi",28.5985,77.2283,Delhi
087,Rapid 087,In Transit,"Hauz Khas, Delhi",28.5516,77.1908,Delhi
088,Apex 088,Available,"Sunder Nagar, Delhi",28.6021,77.2307,Delhi
089,Rapid 089,In Transit,"Saket, Delhi",28.5263,77.2109,Delhi
090,Care 090,Available,"Panchsheel Park, Delhi",28.5424,77.2203,Delhi
091,Medi 091,In Transit,"Saket, Delhi",28.5256,77.2139,Delhi
092,Lifeline 092,In Transit,"Panchsheel Park, Delhi",28.5495,77.2278,Delhi
093,Swift 093,Available,"Shanti Niketan, Delhi",28.5845,77.1685,Delhi
094,Swift 094,In Transit,"Panchsheel Park, Delhi",28.5452,77.2291,Delhi
095,Apex 095,Available,"Vasant Kunj, Delhi",28.5326,77.1486,Delhi
096,Medi 096,In Transit,"Shanti Niketan, Delhi",28.5856,77.1723,Delhi
097,Lifeline 097,In Transit,"Hauz Khas, Delhi",28.5476,77.1922,Delhi
098,Apex 098,In Transit,"Greater Kailash, Delhi",28.5485,77.2547,Delhi
099,Lifeline 099,In Transit,"Hauz Khas, Delhi",28.5509,77.1924,Delhi
100,Apex 100,Available,"Golf Links, Delhi",28.5967,77.2265,Delhi
101,Care 101,In Transit,"Bellandur, Bangalore",12.933,77.6823,Bangalore
102,Care 102,In Transit,"Bellandur, Bangalore",12.9365,77.6801,Bangalore
103,Lifeline 103,In Transit,"Malleswaram, Bangalore",13.0033,77.564,Bangalore
104,Swift 104,Available,"HSR Layout, Bangalore",12.9153,77.6351,Bangalore
105,Rapid 105,In Transit,"Electronic City, Bangalore",12.8401,77.6633,Bangalore
106,Care 106,Available,"Sarjapur Road, Bangalore",12.9277,77.6753,Bangalore
107,Care 107,Available,"Indiranagar, Bangalore",12.9737,77.6387,Bangalore
108,Rapid 108,Available,"Banashankari, Bangalore",12.9249,77.5485,Bangalore
109,Apex 109,Available,"Indiranagar, Bangalore",12.9731,77.64,Bangalore
110,Swift 110,In Transit,"Rajajinagar, Bangalore",12.9921,77.545,Bangalore
111,Medi 111,In Transit,"Whitefield, Bangalore",12.9717,77.7483,Bangalore
112,Medi 112,Available,"Koramangala, Bangalore",12.9326,77.6232,Bangalore
113,Lifeline 113,In Transit,"Sadashivanagar, Bangalore",13.0038,77.5798,Bangalore
114,Rapid 114,In Transit,"Jayanagar, Bangalore",12.9257,77.5799,Bangalore
